split_id,case_id,seed,prob_class1
split_1_data_splits_new_01,5,1,0.9999996423721313
split_1_data_splits_new_01,14,1,1.0
split_1_data_splits_new_01,19,1,0.9999750852584839
split_1_data_splits_new_01,25,1,0.0003326613805256784
split_1_data_splits_new_01,27,1,0.007602702360600233
split_1_data_splits_new_01,36,1,0.00014844787074252963
split_1_data_splits_new_01,44,1,0.917414128780365
split_1_data_splits_new_01,49,1,0.999941349029541
split_1_data_splits_new_01,54,1,0.8846091628074646
split_1_data_splits_new_01,56,1,0.9599630236625671
split_1_data_splits_new_01,66,1,1.0
split_1_data_splits_new_01,72,1,0.9825014472007751
split_1_data_splits_new_01,79,1,0.013802560046315193
split_1_data_splits_new_01,84,1,0.3999393880367279
split_1_data_splits_new_01,90,1,8.409660949837416e-06
split_1_data_splits_new_01,92,1,0.8028988242149353
split_1_data_splits_new_01,98,1,0.9998656511306763
split_1_data_splits_new_01,119,1,4.493201231525745e-06
split_1_data_splits_new_01,5,2,0.999541163444519
split_1_data_splits_new_01,14,2,0.9999997615814209
split_1_data_splits_new_01,19,2,0.9079800844192505
split_1_data_splits_new_01,25,2,0.0015852916985750198
split_1_data_splits_new_01,27,2,0.15515391528606415
split_1_data_splits_new_01,36,2,0.01772758737206459
split_1_data_splits_new_01,44,2,0.9789601564407349
split_1_data_splits_new_01,49,2,0.9999103546142578
split_1_data_splits_new_01,54,2,0.9822854995727539
split_1_data_splits_new_01,56,2,0.8648175001144409
split_1_data_splits_new_01,66,2,0.9999986886978149
split_1_data_splits_new_01,72,2,0.9945372939109802
split_1_data_splits_new_01,79,2,0.22262318432331085
split_1_data_splits_new_01,84,2,0.7491108179092407
split_1_data_splits_new_01,90,2,0.00222330866381526
split_1_data_splits_new_01,92,2,0.6031186580657959
split_1_data_splits_new_01,98,2,0.9990066885948181
split_1_data_splits_new_01,119,2,0.0019123717211186886
split_2_data_splits_new_02,9,1,0.99980229139328
split_2_data_splits_new_02,16,1,0.9885991811752319
split_2_data_splits_new_02,26,1,0.883284330368042
split_2_data_splits_new_02,32,1,0.4622597396373749
split_2_data_splits_new_02,40,1,0.9994975328445435
split_2_data_splits_new_02,45,1,0.9247550964355469
split_2_data_splits_new_02,50,1,0.9560036659240723
split_2_data_splits_new_02,55,1,0.9999998807907104
split_2_data_splits_new_02,60,1,0.8808355927467346
split_2_data_splits_new_02,67,1,0.9964284300804138
split_2_data_splits_new_02,73,1,0.9916501045227051
split_2_data_splits_new_02,82,1,0.04535427689552307
split_2_data_splits_new_02,86,1,0.4721456468105316
split_2_data_splits_new_02,91,1,0.9974907636642456
split_2_data_splits_new_02,99,1,0.9996570348739624
split_2_data_splits_new_02,101,1,0.9970933198928833
split_2_data_splits_new_02,109,1,0.1646076887845993
split_2_data_splits_new_02,110,1,0.21000772714614868
split_2_data_splits_new_02,111,1,0.3453030586242676
split_2_data_splits_new_02,9,2,0.9998502731323242
split_2_data_splits_new_02,16,2,0.9860097169876099
split_2_data_splits_new_02,26,2,0.865786612033844
split_2_data_splits_new_02,32,2,0.4281063973903656
split_2_data_splits_new_02,40,2,0.9985582232475281
split_2_data_splits_new_02,45,2,0.2125920057296753
split_2_data_splits_new_02,50,2,0.5448514223098755
split_2_data_splits_new_02,55,2,0.9999980926513672
split_2_data_splits_new_02,60,2,0.9298902750015259
split_2_data_splits_new_02,67,2,0.9996596574783325
split_2_data_splits_new_02,73,2,0.995603084564209
split_2_data_splits_new_02,82,2,0.005186720751225948
split_2_data_splits_new_02,86,2,0.2731378376483917
split_2_data_splits_new_02,91,2,0.9963178634643555
split_2_data_splits_new_02,99,2,0.9994018077850342
split_2_data_splits_new_02,101,2,0.9983429908752441
split_2_data_splits_new_02,109,2,0.08858112245798111
split_2_data_splits_new_02,110,2,0.0054765804670751095
split_2_data_splits_new_02,111,2,0.27863138914108276
split_3_data_splits_new_03,7,1,0.9999963045120239
split_3_data_splits_new_03,15,1,0.11168203502893448
split_3_data_splits_new_03,22,1,0.004906360525637865
split_3_data_splits_new_03,28,1,0.0051920670084655285
split_3_data_splits_new_03,38,1,0.9914863109588623
split_3_data_splits_new_03,41,1,0.9069446921348572
split_3_data_splits_new_03,46,1,0.7255855798721313
split_3_data_splits_new_03,51,1,0.5046324729919434
split_3_data_splits_new_03,57,1,0.9949030876159668
split_3_data_splits_new_03,61,1,0.9612293243408203
split_3_data_splits_new_03,68,1,0.992954432964325
split_3_data_splits_new_03,75,1,0.37481918931007385
split_3_data_splits_new_03,85,1,0.039020854979753494
split_3_data_splits_new_03,87,1,0.9991958737373352
split_3_data_splits_new_03,93,1,0.23809458315372467
split_3_data_splits_new_03,100,1,0.9998155236244202
split_3_data_splits_new_03,104,1,0.997739315032959
split_3_data_splits_new_03,107,1,0.00282405992038548
split_3_data_splits_new_03,108,1,0.014160258695483208
split_3_data_splits_new_03,7,2,1.0
split_3_data_splits_new_03,15,2,0.2569401264190674
split_3_data_splits_new_03,22,2,0.0019468858372420073
split_3_data_splits_new_03,28,2,0.012937456369400024
split_3_data_splits_new_03,38,2,0.9999544620513916
split_3_data_splits_new_03,41,2,0.999976396560669
split_3_data_splits_new_03,46,2,0.9851537942886353
split_3_data_splits_new_03,51,2,0.932473361492157
split_3_data_splits_new_03,57,2,0.9999979734420776
split_3_data_splits_new_03,61,2,0.8475527167320251
split_3_data_splits_new_03,68,2,0.9983978867530823
split_3_data_splits_new_03,75,2,0.8267754912376404
split_3_data_splits_new_03,85,2,0.0011176575208082795
split_3_data_splits_new_03,87,2,0.9999363422393799
split_3_data_splits_new_03,93,2,0.7155411243438721
split_3_data_splits_new_03,100,2,0.9999665021896362
split_3_data_splits_new_03,104,2,0.9999951124191284
split_3_data_splits_new_03,107,2,0.0026844290550798178
split_3_data_splits_new_03,108,2,0.0032218166161328554
split_4_data_splits_new_04,3,1,0.941912829875946
split_4_data_splits_new_04,11,1,0.9343619346618652
split_4_data_splits_new_04,17,1,0.909407377243042
split_4_data_splits_new_04,21,1,0.15229155123233795
split_4_data_splits_new_04,24,1,0.12442732602357864
split_4_data_splits_new_04,34,1,0.02743668667972088
split_4_data_splits_new_04,42,1,0.9978952407836914
split_4_data_splits_new_04,48,1,0.9996461868286133
split_4_data_splits_new_04,53,1,0.5101017355918884
split_4_data_splits_new_04,58,1,0.9982569813728333
split_4_data_splits_new_04,63,1,0.999362051486969
split_4_data_splits_new_04,70,1,0.9660698771476746
split_4_data_splits_new_04,77,1,0.19561894237995148
split_4_data_splits_new_04,80,1,0.9985926747322083
split_4_data_splits_new_04,88,1,0.9982243180274963
split_4_data_splits_new_04,94,1,0.9304771423339844
split_4_data_splits_new_04,97,1,0.8799847960472107
split_4_data_splits_new_04,106,1,0.9970567226409912
split_4_data_splits_new_04,118,1,0.1392005831003189
split_4_data_splits_new_04,3,2,0.4598951041698456
split_4_data_splits_new_04,11,2,0.9252811074256897
split_4_data_splits_new_04,17,2,0.6624838709831238
split_4_data_splits_new_04,21,2,0.04595685377717018
split_4_data_splits_new_04,24,2,0.03532274812459946
split_4_data_splits_new_04,34,2,0.011982756666839123
split_4_data_splits_new_04,42,2,0.9901779294013977
split_4_data_splits_new_04,48,2,0.9914029240608215
split_4_data_splits_new_04,53,2,0.1759646236896515
split_4_data_splits_new_04,58,2,0.9177307486534119
split_4_data_splits_new_04,63,2,0.9997972846031189
split_4_data_splits_new_04,70,2,0.9418253898620605
split_4_data_splits_new_04,77,2,0.14947298169136047
split_4_data_splits_new_04,80,2,0.9946723580360413
split_4_data_splits_new_04,88,2,0.9886690974235535
split_4_data_splits_new_04,94,2,0.756855845451355
split_4_data_splits_new_04,97,2,0.6676769852638245
split_4_data_splits_new_04,106,2,0.9446078538894653
split_4_data_splits_new_04,118,2,0.03208622336387634
split_5_data_splits_new_05,1,1,0.8037222027778625
split_5_data_splits_new_05,2,1,0.032757360488176346
split_5_data_splits_new_05,4,1,0.13238213956356049
split_5_data_splits_new_05,12,1,0.518816351890564
split_5_data_splits_new_05,18,1,0.37837573885917664
split_5_data_splits_new_05,23,1,0.11407199501991272
split_5_data_splits_new_05,30,1,0.01011739019304514
split_5_data_splits_new_05,43,1,0.41499367356300354
split_5_data_splits_new_05,47,1,0.7768776416778564
split_5_data_splits_new_05,52,1,0.9476237297058105
split_5_data_splits_new_05,59,1,0.9923219084739685
split_5_data_splits_new_05,64,1,0.9783422946929932
split_5_data_splits_new_05,69,1,0.6208807229995728
split_5_data_splits_new_05,78,1,0.18348713219165802
split_5_data_splits_new_05,83,1,0.9463658928871155
split_5_data_splits_new_05,89,1,0.6448047757148743
split_5_data_splits_new_05,95,1,0.7952823638916016
split_5_data_splits_new_05,96,1,0.4762265980243683
split_5_data_splits_new_05,1,2,0.5231904983520508
split_5_data_splits_new_05,2,2,0.012179214507341385
split_5_data_splits_new_05,4,2,0.050623029470443726
split_5_data_splits_new_05,12,2,0.7923284769058228
