case_id,stain,slice_idx,patch_idx,patch_attn_weight,slice_attn_weight,stain_attn_weight,effective_weight,true_label,pred_label
9,melan,0,21,0.020543506368994713,1.0,0.8571078777313232,0.01760800114508898,1,1
9,melan,0,2,0.025455554947257042,1.0,0.8571078777313232,0.02181815667731657,1,1
9,melan,0,6,0.02765054441988468,1.0,0.8571078777313232,0.023699499445843042,1,1
9,melan,0,7,0.03678642213344574,1.0,0.8571078777313232,0.031529932204126254,1,1
9,melan,0,27,0.04615061357617378,1.0,0.8571078777313232,0.039556054458272705,1,1
9,melan,0,22,0.05466790869832039,1.0,0.8571078777313232,0.046856295204427134,1,1
9,melan,0,25,0.0799027681350708,1.0,0.8571078777313232,0.06848529202110853,1,1
9,melan,0,10,0.1035175770521164,1.0,0.8571078777313232,0.08872573077502821,1,1
9,melan,0,9,0.1629345417022705,1.0,0.8571078777313232,0.13965247924755886,1,1
9,melan,0,11,0.16327713429927826,1.0,0.8571078777313232,0.13994611806130663,1,1
9,melan,0,23,0.21509309113025665,1.0,0.8571078777313232,0.1843579828533244,1,1
16,h&e,0,22,0.012929566204547882,1.0,1.0,0.012929566204547882,1,1
16,h&e,0,151,0.013900885358452797,1.0,1.0,0.013900885358452797,1,1
16,h&e,0,51,0.018204446882009506,1.0,1.0,0.018204446882009506,1,1
16,h&e,0,175,0.027566002681851387,1.0,1.0,0.027566002681851387,1,1
16,h&e,0,164,0.02828395366668701,1.0,1.0,0.02828395366668701,1,1
16,h&e,0,170,0.03749072179198265,1.0,1.0,0.03749072179198265,1,1
16,h&e,0,173,0.1316339671611786,1.0,1.0,0.1316339671611786,1,1
16,h&e,0,172,0.17751692235469818,1.0,1.0,0.17751692235469818,1,1
26,h&e,4,86,0.007788066752254963,0.771794319152832,0.6114495396614075,0.0036752921349442035,0,1
26,h&e,4,126,0.007859935984015465,0.771794319152832,0.6114495396614075,0.003709208179918699,0,1
26,h&e,4,104,0.008412336930632591,0.771794319152832,0.6114495396614075,0.003969893523152284,0,1
26,h&e,4,129,0.008565946482121944,0.771794319152832,0.6114495396614075,0.004042383910613032,0,1
26,h&e,4,193,0.008886389434337616,0.771794319152832,0.6114495396614075,0.004193605195617498,0,1
26,h&e,2,1,0.12857583165168762,0.05506034567952156,0.6114495396614075,0.004328714053615674,0,1
26,sox10,0,2,0.013678326271474361,1.0,0.3194367587566376,0.0043693602093755335,0,1
26,sox10,0,100,0.01369473710656166,1.0,0.3194367587566376,0.00437460243334431,0,1
26,sox10,0,95,0.01375547144562006,1.0,0.3194367587566376,0.004394003213758352,0,1
26,h&e,4,41,0.009663885459303856,0.771794319152832,0.6114495396614075,0.004560515895847621,0,1
26,h&e,4,130,0.010079138912260532,0.771794319152832,0.6114495396614075,0.00475647951534513,0,1
26,h&e,0,21,0.1712021678686142,0.046003587543964386,0.6114495396614075,0.00481572393912167,0,1
26,h&e,4,80,0.010280824266374111,0.771794319152832,0.6114495396614075,0.0048516575125666424,0,1
26,h&e,4,119,0.011381332762539387,0.771794319152832,0.6114495396614075,0.0053710020879356715,0,1
26,h&e,4,37,0.012264024466276169,0.771794319152832,0.6114495396614075,0.005787556026098179,0,1
26,sox10,0,22,0.01966247148811817,1.0,0.3194367587566376,0.006280916161309269,0,1
26,sox10,0,51,0.0207146517932415,1.0,0.3194367587566376,0.006617021227605435,0,1
